rule,activation_rate,global_rate,dominance
"HERB MARKER BASIL, HERB MARKER MINT → HERB MARKER ROSEMARY",72.21994,2.1549923,33.51285
"HERB MARKER BASIL, HERB MARKER MINT → HERB MARKER THYME",70.594536,2.1064966,33.51277
"HERB MARKER BASIL, HERB MARKER MINT → HERB MARKER PARSLEY",71.996346,2.1483266,33.512756
"HERB MARKER BASIL, HERB MARKER ROSEMARY → HERB MARKER THYME",55.055714,2.1904361,25.13459
"HERB MARKER BASIL, HERB MARKER ROSEMARY → HERB MARKER PARSLEY",53.81207,2.1409569,25.134588
"HERB MARKER BASIL, HERB MARKER ROSEMARY → HERB MARKER MINT",52.657307,2.0950153,25.13457
"HERB MARKER MINT, HERB MARKER ROSEMARY → HERB MARKER PARSLEY",54.652905,2.1929939,24.921595
"HERB MARKER MINT, HERB MARKER ROSEMARY → HERB MARKER THYME",54.75097,2.1969302,24.92158
"HERB MARKER MINT, HERB MARKER ROSEMARY → HERB MARKER BASIL",53.142246,2.1323795,24.92157
"HERB MARKER MINT, HERB MARKER PARSLEY → HERB MARKER THYME",44.909172,2.107443,21.309792
"HERB MARKER MINT, HERB MARKER PARSLEY → HERB MARKER BASIL",43.57475,2.0448258,21.309761
"HERB MARKER BASIL, HERB MARKER PARSLEY → HERB MARKER ROSEMARY",44.915115,2.1077251,21.30976
"HERB MARKER MINT, HERB MARKER PARSLEY → HERB MARKER ROSEMARY",44.952606,2.1094844,21.30976
"HERB MARKER BASIL, HERB MARKER PARSLEY → HERB MARKER MINT",43.815197,2.0561104,21.30975
"HERB MARKER BASIL, HERB MARKER PARSLEY → HERB MARKER THYME",45.110397,2.1168904,21.309746
"HERB MARKER PARSLEY, HERB MARKER ROSEMARY → HERB MARKER MINT",26.48169,2.0891776,12.6756525
"HERB MARKER PARSLEY, HERB MARKER ROSEMARY → HERB MARKER THYME",27.962643,2.206013,12.675648
"HERB MARKER PARSLEY, HERB MARKER ROSEMARY → HERB MARKER BASIL",26.3144,2.0759833,12.6756315
